name	description	p-value	q-value	phenotype	genes
10Q22Q23 COPY NUMBER VARIATION%WIKIPATHWAYS_20240510%WP5402%HOMO SAPIENS	10q22q23 copy number variation	0.00287177302300296	0.00287177302300296	1	RAD21,SMC1A,CEBPA,ERBB4,SMC3
16P11 2 PROXIMAL DELETION SYNDROME%WIKIPATHWAYS_20240510%WP4949%HOMO SAPIENS	16p11 2 proximal deletion syndrome	0.0220847069514364	0.0220847069514364	1	PPP2R1A,MLL2,PTEN
22Q11 2 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20240510%WP4657%HOMO SAPIENS	22q11 2 copy number variation syndrome	0.0133825138063421	0.0133825138063421	1	NCOR1,FOXA2,FGFR2,EGFR
7Q11 23 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20240510%WP4932%HOMO SAPIENS	7q11 23 copy number variation syndrome	0.0508476788905982	0.0508476788905982	1	SF3B1,RB1,CTNNB1
A6B1 AND A6B4 INTEGRIN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%A6B1 AND A6B4 INTEGRIN SIGNALING	a6b1 and a6b4 Integrin signaling	0.0119362265613528	0.0119362265613528	1	PIK3CA,CDH1,AKT1,EGFR,PIK3R1
ABERRANT REGULATION OF MITOTIC CELL CYCLE DUE TO RB1 DEFECTS%REACTOME DATABASE ID RELEASE 81%9687139	Aberrant regulation of mitotic cell cycle due to RB1 defects	0.000756215002301384	0.000756215002301384	1	RB1,CDKN1A,CDKN1B,CCND1
ABERRANT REGULATION OF MITOTIC G1 S TRANSITION IN CANCER DUE TO RB1 DEFECTS%REACTOME DATABASE ID RELEASE 81%9659787	Aberrant regulation of mitotic G1 S transition in cancer due to RB1 defects	6.24442058887725e-05	6.24442058887725e-05	1	RB1,CDKN1A,CDKN1B,CCND1
ACTIVATION OF ANTERIOR HOX GENES IN HINDBRAIN DEVELOPMENT DURING EARLY EMBRYOGENESIS%REACTOME%R-HSA-5617472.4	Activation of anterior HOX genes in hindbrain development during early embryogenesis	0.000282695493483286	0.000282695493483286	1	EZH2,EP300,NCOR1,CTCF,AJUBA,KDM6A
ACTIVATION OF HOX GENES DURING DIFFERENTIATION%REACTOME DATABASE ID RELEASE 81%5619507	Activation of HOX genes during differentiation	0.000282695493483286	0.000282695493483286	1	EZH2,EP300,NCOR1,CTCF,AJUBA,KDM6A
ACTIVIN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0032924	activin receptor signaling pathway	0.000291161621437008	0.000291161621437008	1	ACVR1B,ACVR2A,SMAD2,SMAD4
ACUTE MYELOID LEUKEMIA%WIKIPATHWAYS_20240510%WP5293%HOMO SAPIENS	Acute myeloid leukemia	4.07222714906532e-05	4.07222714906532e-05	1	KRAS,PIK3R1,BRAF,MTOR,RUNX1,CEBPA,CCND1,NRAS,FLT3,KIT
ADIPOGENESIS%REACTOME DATABASE ID RELEASE 81%9843745	Adipogenesis	0.00366468445689706	0.00366468445689706	1	EP300,NCOR1,TBL1XR1,CEBPA,SMAD4
ADIPOGENESIS%WIKIPATHWAYS_20240510%WP236%HOMO SAPIENS	Adipogenesis	0.000802909899528026	0.000802909899528026	1	GATA3,RB1,NCOR1,CDKN1A,CEBPA,CTNNB1
AFFECTED PATHWAYS IN DUCHENNE MUSCULAR DYSTROPHY%WIKIPATHWAYS_20240510%WP5356%HOMO SAPIENS	Affected pathways in Duchenne muscular dystrophy	0.020569852658558	0.020569852658558	1	SMAD2,TGFBR2,SMAD4
ALK1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ALK1 SIGNALING EVENTS	ALK1 signaling events	0.00351915387811519	0.00351915387811519	1	ACVR2A,TGFBR2,SMAD4
ALPHA6BETA4INTEGRIN%IOB%ALPHA6BETA4INTEGRIN	Alpha6Beta4Integrin	0.016847075662186	0.016847075662186	1	PIK3R1,EGFR,SMAD2,PTPN11,MTOR
ALZHEIMER 39 S DISEASE AND MIRNA EFFECTS%WIKIPATHWAYS_20240510%WP2059%HOMO SAPIENS	Alzheimer 39 s disease and miRNA effects	0.180708158828859	0.180708158828859	1	PIK3R1,BRAF,AXIN2,NRAS,KRAS,MTOR,CTNNB1
ALZHEIMER 39 S DISEASE%WIKIPATHWAYS_20240510%WP5124%HOMO SAPIENS	Alzheimer 39 s disease	0.180708158828859	0.180708158828859	1	PIK3R1,BRAF,AXIN2,NRAS,KRAS,MTOR,CTNNB1
ALZHEIMER DISEASE-PRESENILIN PATHWAY%PANTHER PATHWAY%P00004	Alzheimer disease-presenilin pathway	0.0421905660377834	0.0421905660377834	1	ERBB4,CTNNB1,CDH1,NOTCH1
AMEBOIDAL-TYPE CELL MIGRATION%GOBP%GO:0001667	ameboidal-type cell migration	0.0243545229409149	0.0243545229409149	1	SMAD4,ERBB4,KIT,AKT1,PIK3CA,EGR3
ANATOMICAL STRUCTURE HOMEOSTASIS%GOBP%GO:0060249	anatomical structure homeostasis	0.0794302273182279	0.0794302273182279	1	SOX9,TLR4,NOTCH1
ANDROGEN RECEPTOR NETWORK IN PROSTATE CANCER%WIKIPATHWAYS_20240510%WP2263%HOMO SAPIENS	Androgen receptor network in prostate cancer	2.33656321103719e-10	2.33656321103719e-10	1	SMAD2,BRCA1,RB1,ATR,MTOR,ARID1A,CHEK2,CCND1,HGF,FOXA1,PTPN11,PTEN,ATM
ANDROGEN RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20240510%WP138%HOMO SAPIENS	Androgen receptor signaling pathway	4.00793534035233e-09	4.00793534035233e-09	1	BRCA1,RB1,PIK3R1,NCOR1,EP300,CTNNB1,SIN3A,EGFR,CCND1,SMAD4,PTEN
ANDROGENRECEPTOR%IOB%ANDROGENRECEPTOR	AndrogenReceptor	5.30074393162668e-09	5.30074393162668e-09	1	FOXA1,RB1,CCND1,EP300,PIK3R1,SMAD4,PTEN,BRCA1,SIN3A,CEBPA,EGFR,CTNNB1
ANGIOGENESIS%GOBP%GO:0001525	angiogenesis	0.00414144316037888	0.00414144316037888	1	FGFR2,PDGFRA,CTNNB1,AKT1,SOX17,EGR3,TGFBR2
ANGIOGENESIS%PANTHER PATHWAY%P00005	Angiogenesis	1.13743737669638e-05	1.13743737669638e-05	1	PIK3CA,NRAS,MAP3K1,APC,CTNNB1,AKT1,PDGFRA,MAP2K4,EPHA3,NOTCH1,PIK3R1,BRAF,PIK3CG
ANGIOPOIETIN RECEPTOR TIE2-MEDIATED SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ANGIOPOIETIN RECEPTOR TIE2-MEDIATED SIGNALING	Angiopoietin receptor Tie2-mediated signaling	0.0148291850658837	0.0148291850658837	1	PIK3CA,CDKN1A,AKT1,PTPN11,PIK3R1
ANGIOTENSIN II RECEPTOR TYPE 1 PATHWAY%WIKIPATHWAYS_20240510%WP5036%HOMO SAPIENS	Angiotensin II receptor type 1 pathway	0.0026710271917452	0.0026710271917452	1	TGFBR2,SMAD4,PTPN11
ANTERIOR/POSTERIOR AXIS SPECIFICATION%GOBP%GO:0009948	anterior/posterior axis specification	0.00739598933889216	0.00739598933889216	1	FOXA2,TBX3,WT1
ANTERIOR/POSTERIOR PATTERN SPECIFICATION%GOBP%GO:0009952	anterior/posterior pattern specification	0.0121131753181839	0.0121131753181839	1	FOXA2,TBX3,SMAD2,WT1
ANTIVIRAL MECHANISM BY IFN-STIMULATED GENES%REACTOME%R-HSA-1169410.7	Antiviral mechanism by IFN-stimulated genes	0.0255509483782069	0.0255509483782069	1	EIF4A2,TP53,NPM1,PPP2R1A
AORTIC VALVE DEVELOPMENT%GOBP%GO:0003176	aortic valve development	5.78657110521546e-07	5.78657110521546e-07	1	GATA3,NOTCH1,TGFBR2,AXIN2,SMAD2,RB1,SOX9
AORTIC VALVE MORPHOGENESIS%GOBP%GO:0003180	aortic valve morphogenesis	2.68157730920404e-07	2.68157730920404e-07	1	GATA3,NOTCH1,TGFBR2,AXIN2,SMAD2,RB1,SOX9
AP-1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AP-1 TRANSCRIPTION FACTOR NETWORK	AP-1 transcription factor network	6.96796429004591e-07	6.96796429004591e-07	1	CDKN1B,CCND1,EP300,CBFB,PTEN,CTNNB1,TP53,CDKN2A
APOPTOSIS SIGNALING PATHWAY%PANTHER PATHWAY%P00006	Apoptosis signaling pathway	0.0115541956862439	0.0115541956862439	1	PIK3CA,TP53,MAP3K1,PIK3CG,AKT1,MAP2K4
APOPTOSIS%REACTOME DATABASE ID RELEASE 81%109581	Apoptosis	0.00478574503765163	0.00478574503765163	1	CDH1,AKT1,APC,CTNNB1,TP53,CDKN2A,TLR4
APOPTOTIC CLEAVAGE OF CELLULAR PROTEINS%REACTOME%R-HSA-111465.5	Apoptotic cleavage of cellular proteins	0.00789867495079025	0.00789867495079025	1	CDH1,APC,CTNNB1
APOPTOTIC EXECUTION PHASE%REACTOME DATABASE ID RELEASE 81%75153	Apoptotic execution phase	0.0154197329111579	0.0154197329111579	1	CDH1,APC,CTNNB1
APOPTOTIC SIGNALING PATHWAY%GOBP%GO:0097190	apoptotic signaling pathway	3.02905900140967e-05	3.02905900140967e-05	1	BRCA1,TP53,SMAD4,EP300,STK11,ACVR1B,CDKN1A,CHEK2,FGFR3,ATM
APPENDAGE DEVELOPMENT%GOBP%GO:0048736	appendage development	0.0237385591908483	0.0237385591908483	1	FGFR2,TBX3,CTNNB1
APPENDAGE MORPHOGENESIS%GOBP%GO:0035107	appendage morphogenesis	0.0113074751559663	0.0113074751559663	1	FGFR2,TBX3,CTNNB1
ARTERY DEVELOPMENT%GOBP%GO:0060840	artery development	0.0130767028332817	0.0130767028332817	1	NF1,NOTCH1,TGFBR2
ARTERY MORPHOGENESIS%GOBP%GO:0048844	artery morphogenesis	0.0093498296417653	0.0093498296417653	1	NF1,NOTCH1,TGFBR2
ARYL HYDROCARBON RECEPTOR PATHWAY%WIKIPATHWAYS_20240510%WP2586%HOMO SAPIENS	Aryl hydrocarbon receptor pathway	2.68157730920404e-07	2.68157730920404e-07	1	EP300,KRAS,CDKN1A,CDKN1B,EGFR,RB1,NRAS,NF1,NFE2L2
ARYL HYDROCARBON RECEPTOR PATHWAY%WIKIPATHWAYS_20240510%WP2873%HOMO SAPIENS	Aryl hydrocarbon receptor pathway	0.00120973343265507	0.00120973343265507	1	EP300,CDKN1B,EGFR,NFE2L2
ATF-2 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ATF-2 TRANSCRIPTION FACTOR NETWORK	ATF-2 transcription factor network	3.24404418624145e-06	3.24404418624145e-06	1	RB1,CCND1,PDGFRA,NF1,EP300,CBFB,BRCA1
ATM PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ATM PATHWAY	ATM pathway	4.63566888112552e-05	4.63566888112552e-05	1	SMC3,SMC1A,BRCA1,CHEK2,ATM
ATM SIGNALING IN DEVELOPMENT AND DISEASE %WIKIPATHWAYS_20240510%WP3878%HOMO SAPIENS	ATM signaling in development and disease	0.000102823281381436	0.000102823281381436	1	STK11,CHEK2,SMC1A,ATM,ATR,MTOR
ATM SIGNALING PATHWAY%WIKIPATHWAYS_20240510%WP2516%HOMO SAPIENS	ATM signaling pathway	5.68402028104434e-05	5.68402028104434e-05	1	CHEK2,CDKN1A,SMC1A,BRCA1,ATM
ATR SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ATR SIGNALING PATHWAY	ATR signaling pathway	0.0088040963399394	0.0088040963399394	1	PPP2R1A,BRCA2,ATR
ATRIOVENTRICULAR CANAL DEVELOPMENT%GOBP%GO:0036302	atrioventricular canal development	0.00054116323180938	0.00054116323180938	1	TBX3,SMAD4,PTPN11
ATRIOVENTRICULAR VALVE DEVELOPMENT%GOBP%GO:0003171	atrioventricular valve development	0.000226258814186409	0.000226258814186409	1	NOTCH1,TGFBR2,AXIN2,SMAD4
ATRIOVENTRICULAR VALVE MORPHOGENESIS%GOBP%GO:0003181	atrioventricular valve morphogenesis	0.000150465281173629	0.000150465281173629	1	AXIN2,SMAD4,NOTCH1,TGFBR2
AURORA A SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AURORA A SIGNALING	Aurora A signaling	0.00533404082256284	0.00533404082256284	1	BRCA1,AKT1,TP53,AJUBA
AUTONOMIC NERVOUS SYSTEM DEVELOPMENT%GOBP%GO:0048483	autonomic nervous system development	0.00414144316037888	0.00414144316037888	1	NF1,GATA3,CTNNB1
AXIS SPECIFICATION%GOBP%GO:0009798	axis specification	0.00319521657415741	0.00319521657415741	1	FOXA2,TBX3,SMAD2,WT1
AXON ENSHEATHMENT%GOBP%GO:0008366	axon ensheathment	0.020569852658558	0.020569852658558	1	NF1,PTEN,PRX
AXON GUIDANCE%GOBP%GO:0007411	axon guidance	0.0414536320224288	0.0414536320224288	1	EPHB6,EPHA3,ARHGAP35,NOTCH1
AXONOGENESIS%GOBP%GO:0007409	axonogenesis	0.00443067461533373	0.00443067461533373	1	FGFR2,EPHA3,ARHGAP35,USP9X,NOTCH1,PTEN,EPHB6
B CELL ACTIVATION%GOBP%GO:0042113	B cell activation	0.0771339653779351	0.0771339653779351	1	PIK3R1,KIT,FLT3,ATM
B CELL DIFFERENTIATION%GOBP%GO:0030183	B cell differentiation	0.0421905660377834	0.0421905660377834	1	PIK3R1,KIT,FLT3,ATM
BACTERIAL INFECTION PATHWAYS%REACTOME%R-HSA-9824439.2	Bacterial Infection Pathways	0.0243545229409149	0.0243545229409149	1	CDH1,CTNNB1,MAP2K4
BARD1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BARD1 SIGNALING EVENTS	BARD1 signaling events	0.000331642235554396	0.000331642235554396	1	BRCA1,ATM,TP53,ATR
BEHAVIOR%GOBP%GO:0007610	behavior	0.00340782092869848	0.00340782092869848	1	EGFR,LRRK2,TP53,NCOR1,PTEN,FOXA2,NF1
BETA-CATENIN PHOSPHORYLATION CASCADE%REACTOME%R-HSA-196299.3	Beta-catenin phosphorylation cascade	0.0013094832527241	0.0013094832527241	1	APC,CTNNB1,PPP2R1A
BIOCARTA_ALK_PATHWAY%MSIGDB_C2%BIOCARTA_ALK_PATHWAY	BIOCARTA_ALK_PATHWAY	0.00566413991048464	0.00566413991048464	1	SMAD4,TGFBR2,CTNNB1
BIOCARTA_ATM_PATHWAY%MSIGDB_C2%BIOCARTA_ATM_PATHWAY	BIOCARTA_ATM_PATHWAY	7.55083534738544e-05	7.55083534738544e-05	1	ATM,CDKN1A,BRCA1,CHEK2
BIOCARTA_ATRBRCA_PATHWAY%MSIGDB_C2%BIOCARTA_ATRBRCA_PATHWAY	BIOCARTA_ATRBRCA_PATHWAY	5.66846151923624e-06	5.66846151923624e-06	1	ATM,BRCA1,CHEK2,BRCA2,ATR
BIOCARTA_CARM_ER_PATHWAY%MSIGDB_C2%BIOCARTA_CARM_ER_PATHWAY	BIOCARTA_CARM_ER_PATHWAY	0.00298892482764159	0.00298892482764159	1	CCND1,BRCA1,EP300
BIOCARTA_CELLCYCLE_PATHWAY%MSIGDB_C2%BIOCARTA_CELLCYCLE_PATHWAY	BIOCARTA_CELLCYCLE_PATHWAY	1.94609729775199e-07	1.94609729775199e-07	1	CDKN2C,CDKN2A,CCND1,RB1,CDKN1A,CDKN1B
BIOCARTA_CTCF_PATHWAY%MSIGDB_C2%BIOCARTA_CTCF_PATHWAY	BIOCARTA_CTCF_PATHWAY	1.14396017505974e-07	1.14396017505974e-07	1	SMAD4,CDKN2A,MTOR,TGFBR2,CDKN1B,CTCF,PIK3R1,PTEN
BIOCARTA_G1_PATHWAY%MSIGDB_C2%BIOCARTA_G1_PATHWAY	BIOCARTA_G1_PATHWAY	1.51664321510265e-10	1.51664321510265e-10	1	SMAD4,CDKN2A,ATM,CCND1,RB1,CDKN1A,CDKN1B,ATR
BIOCARTA_G2_PATHWAY%MSIGDB_C2%BIOCARTA_G2_PATHWAY	BIOCARTA_G2_PATHWAY	1.94609729775199e-07	1.94609729775199e-07	1	ATM,CDKN1A,BRCA1,CHEK2,EP300,ATR
BIOCARTA_KERATINOCYTE_PATHWAY%MSIGDB_C2%BIOCARTA_KERATINOCYTE_PATHWAY	BIOCARTA_KERATINOCYTE_PATHWAY	0.00972144521584386	0.00972144521584386	1	EGFR,MAP2K4,MAP3K1,CEBPA
BIOCARTA_MET_PATHWAY%MSIGDB_C2%BIOCARTA_MET_PATHWAY	BIOCARTA_MET_PATHWAY	0.00379758204944254	0.00379758204944254	1	PIK3R1,PTEN,PTPN11,HGF
BIOCARTA_NTHI_PATHWAY%MSIGDB_C2%BIOCARTA_NTHI_PATHWAY	BIOCARTA_NTHI_PATHWAY	0.00218628567786975	0.00218628567786975	1	SMAD4,TGFBR2,EP300
BIOCARTA_P53_PATHWAY%MSIGDB_C2%BIOCARTA_P53_PATHWAY	BIOCARTA_P53_PATHWAY	3.1987839993428e-05	3.1987839993428e-05	1	ATM,CCND1,RB1,CDKN1A
