name	description	p-value	q-value	phenotype	genes
GO:0000003	reproduction	0.00479823517906479	0.00479823517906479	1	FGFR2,SMC1A,ATRX,STAG2,PPP2R1A,GATA3,SMC3,CCND1,CDKN1B,STK11,DNMT3A,ACVR2A,USP9X,SOX9,FOXA1,PDGFRA,TBX3,ACVR1B,IDH1,BRCA2,RB1,SMAD4,AKT1,NOTCH1,ATM,ARID5B,KIT,TGFBR2,SOX17,RAD21,CTNNB1,AR,PTPN11,WT1,LRRK2,MTOR
GO:0000018	regulation of DNA recombination	0.0831453323384011	0.0831453323384011	1	POLQ,ERCC2,SETD2
GO:0000070	mitotic sister chromatid segregation	0.00162865537202426	0.00162865537202426	1	SMC1A,STAG2,PPP2R1A,SMC3,APC,RB1,ATM,RAD21,CHEK2
GO:0000075	cell cycle checkpoint signaling	6.3338637587342e-06	6.3338637587342e-06	1	BRCA1,CCND1,CDKN1B,CDKN1A,APC,BRCA2,TP53,ATM,ATR,PTPN11,CHEK2
GO:0000077	DNA damage checkpoint signaling	1.70689323869481e-06	1.70689323869481e-06	1	BRCA1,CCND1,CDKN1B,CDKN1A,BRCA2,TP53,ATM,ATR,PTPN11,CHEK2
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	5.69403139094914e-09	5.69403139094914e-09	1	CCND1,CDKN1B,CDKN2C,CDKN1A,APC,AKT1,EGFR,CDKN2A,PTEN,CEBPA
GO:0000082	G1/S transition of mitotic cell cycle	2.40355411506575e-11	2.40355411506575e-11	1	EZH2,CCND1,CDKN1B,ARID1A,CDKN2C,CDKN1A,APC,ACVR1B,RB1,TP53,AKT1,EGFR,CDKN2A,ATM,PBRM1,PTEN,CHEK2
GO:0000086	G2/M transition of mitotic cell cycle	0.00137382631126702	0.00137382631126702	1	BRCA1,CCND1,CDKN1A,CDKN2A,ATM,RAD21,SIN3A,CHEK2
GO:0000122	negative regulation of transcription by RNA polymerase II	7.40298936278637e-11	7.40298936278637e-11	1	NFE2L3,FGFR2,CBFB,EP300,CTCF,EZH2,GATA3,CCND1,DNMT3A,USP9X,SOX9,AJUBA,FOXA1,VHL,TBX3,RB1,NCOR1,TP53,SMAD4,TAF1,NOTCH1,ARID5B,PHF6,RUNX1,NSD1,CTNNB1,AR,SIN3A,TBL1XR1,WT1,CEBPA
GO:0000165	MAPK cascade	3.25679840334277e-12	3.25679840334277e-12	1	HGF,MAP2K4,FGFR2,FGFR3,MECOM,MAP3K1,PPP2R1A,PIK3CG,EZH2,FBXW7,MAPK8IP1,FLT3,SOX9,AJUBA,KRAS,PDGFRA,TLR4,NCOR1,SMAD4,EGFR,NOTCH1,KIT,BRAF,CTNNB1,AR,PTEN,ERBB4,PTPN11,LRRK2,NF1,NRAS
GO:0000209	protein polyubiquitination	0.0205419917010203	0.0205419917010203	1	BRCA1,CBFB,SPOP,TAF1,CDKN2A,CTNNB1
GO:0000226	microtubule cytoskeleton organization	0.00144464778708864	0.00144464778708864	1	BRCA1,EPHA3,NAV3,SMC1A,ATRX,STAG2,PPP2R1A,SMC3,CDKN1B,APC,BRCA2,NCOR1,CTNNB1,NPM1,SETD2,CHEK2
GO:0000278	mitotic cell cycle	3.6845844674126e-10	3.6845844674126e-10	1	BRCA1,HGF,SMC1A,STAG2,ERCC2,PPP2R1A,EZH2,SMC3,CCND1,CDKN1B,ARID1A,DNMT3A,CDKN2C,CDKN1A,FOXA1,APC,ACVR1B,BRCA2,RB1,TP53,AKT1,EGFR,CDKN2A,ATM,BAP1,PBRM1,RAD21,CTNNB1,SIN3A,PTEN,PTPN11,SETD2,CHEK2
GO:0000280	nuclear division	0.0177117748435096	0.0177117748435096	1	SMC1A,STAG2,PPP2R1A,SMC3,CDKN1B,APC,BRCA2,RB1,ATM,RAD21,CHEK2
GO:0000302	response to reactive oxygen species	0.00148419288764124	0.00148419288764124	1	HGF,EZH2,NFE2L2,PDGFRA,AKT1,EGFR,LRRK2
GO:0000578	embryonic axis specification	0.00548430582384922	0.00548430582384922	1	TBX3,SMAD4,KDM6A,CTNNB1,SMAD2,WT1
GO:0000723	telomere maintenance	0.052236081962008	0.052236081962008	1	ATRX,BRCA2,ATM,CTNNB1,ATR
GO:0000724	double-strand break repair via homologous recombination	0.0206907710841913	0.0206907710841913	1	BRCA1,POLQ,BRCA2,ATM,RAD21,SETD2
GO:0000725	recombinational repair	0.0219852125728307	0.0219852125728307	1	BRCA1,POLQ,BRCA2,ATM,RAD21,SETD2
GO:0000819	sister chromatid segregation	0.00019985937977327	0.00019985937977327	1	SMC1A,STAG2,PPP2R1A,SMC3,ARID1A,APC,RB1,ATM,PBRM1,RAD21,CHEK2
GO:0000902	cell morphogenesis	0.0102174237323191	0.0102174237323191	1	HGF,CDH1,EPHA3,FGFR2,EP300,GATA3,STK11,USP9X,VHL,RB1,SMAD4,EGFR,NOTCH1,KIT,BRAF,ARHGAP35,BAP1,SOX17,CTNNB1,AR,SIN3A,ASXL1,PTEN,PTPN11,LRRK2,NF1
GO:0000904	cell morphogenesis involved in differentiation	0.0111370171882408	0.0111370171882408	1	CDH1,EPHA3,FGFR2,EP300,GATA3,STK11,USP9X,RB1,SMAD4,NOTCH1,KIT,BRAF,ARHGAP35,BAP1,SOX17,CTNNB1,AR,SIN3A,PTEN,PTPN11,LRRK2
GO:0001501	skeletal system development	1.3320760983064e-05	1.3320760983064e-05	1	FGFR2,FGFR3,EP300,GATA3,FBXW7,ACVR2A,SOX9,PDGFRA,TBX3,RB1,TP53,ARID5B,KIT,RUNX1,TGFBR2,CTNNB1,AXIN2,ASXL1,SMAD2,PTPN11,SETD2
GO:0001503	ossification	1.84218111862847e-05	1.84218111862847e-05	1	HGF,FGFR2,CBFB,FGFR3,ERCC2,ACVR2A,SOX9,SMAD4,AKT1,EGFR,NOTCH1,RUNX1,CTNNB1,AXIN2,PTPN11,NF1,CEBPA
GO:0001525	angiogenesis	0.000771611747288232	0.000771611747288232	1	BRCA1,HGF,FGFR2,PIK3CG,FBXW7,NFE2L2,PIK3CA,PDGFRA,VEZF1,AKT1,NOTCH1,RUNX1,TGFBR2,SOX17,CTNNB1,EGR3,SETD2,NF1
GO:0001558	regulation of cell growth	3.21814349411674e-10	3.21814349411674e-10	1	BRCA1,CDH1,PPP2R1A,CDKN1B,STK11,CDKN2C,CDKN1A,ACVR1B,RB1,TP53,SMAD4,AKT1,EGFR,CDKN2A,BAP1,SOX17,SIN3A,WT1,MTOR
GO:0001568	blood vessel development	0.000879482631022996	0.000879482631022996	1	BRCA1,HGF,FGFR2,PIK3CG,FBXW7,NFE2L2,PIK3CA,PDGFRA,TBX3,VEZF1,AKT1,NOTCH1,RUNX1,TGFBR2,SOX17,CTNNB1,EGR3,SETD2,WT1,NF1
GO:0001570	vasculogenesis	0.00174590993216471	0.00174590993216471	1	FBXW7,NOTCH1,TGFBR2,SOX17,CTNNB1,SETD2,WT1
GO:0001649	osteoblast differentiation	0.000809576235749326	0.000809576235749326	1	HGF,FGFR2,CBFB,ACVR2A,SOX9,SMAD4,AKT1,NOTCH1,CTNNB1,AXIN2,NF1,CEBPA
GO:0001654	eye development	0.0978401883756991	0.0978401883756991	1	GATA3,CDKN1B,SOX9,PDGFRA,EGFR,NOTCH1,ARHGAP35,TGFBR2,CTNNB1,WT1,NF1
GO:0001656	metanephros development	1.28143305486614e-05	1.28143305486614e-05	1	GATA3,SOX9,PDGFRA,SMAD4,SOX17,CTNNB1,WT1,NF1
GO:0001657	ureteric bud development	0.00122627095083196	0.00122627095083196	1	FGFR2,GATA3,SOX9,SMAD4,CTNNB1,SMAD2,WT1
GO:0001659	temperature homeostasis	0.0195722385811853	0.0195722385811853	1	STK11,APC,TLR4,RB1,NOTCH1
GO:0001666	response to hypoxia	2.12445493893324e-05	2.12445493893324e-05	1	EP300,CDKN1B,NFE2L2,DNMT3A,AJUBA,VHL,TP53,SMAD4,NOTCH1,ATM,TGFBR2,NF1,MTOR
GO:0001667	ameboidal-type cell migration	2.67049046586858e-07	2.67049046586858e-07	1	PIK3CG,GATA3,FBXW7,NFE2L2,PIK3CA,SOX9,ACVR1B,SMAD4,AKT1,NOTCH1,ARID5B,KIT,BRAF,TGFBR2,SOX17,PTEN,ERBB4,PTPN11,EGR3,NF1,MTOR,EPPK1
GO:0001704	formation of primary germ layer	0.0455988663190872	0.0455988663190872	1	FGFR2,KDM6A,SOX17,CTNNB1,SMAD2,SETD2
GO:0001708	cell fate specification	0.000625298453446243	0.000625298453446243	1	SOX9,FOXA2,FOXA1,APC,TBX3,NOTCH1,SOX17,CTNNB1,AR
GO:0001763	morphogenesis of a branching structure	1.04352873913634e-05	1.04352873913634e-05	1	HGF,FGFR2,SOX9,FOXA1,KRAS,TBX3,SMAD4,NOTCH1,TGFBR2,CTNNB1,AR,SETD2,WT1,LRRK2
GO:0001775	cell activation	0.000124800795274127	0.000124800795274127	1	CBFB,EP300,PIK3CG,EPHB6,EZH2,GATA3,RPL22,ARID1A,STK11,MAPK8IP1,PIK3CA,FLT3,CDKN1A,PDGFRA,TLR4,TP53,SMAD4,AKT1,PIK3R1,CDKN2A,ATM,KIT,BRAF,RUNX1,TGFBR2,PBRM1,CTNNB1,PTPN11,EGR3,LRRK2,MTOR,CEBPA
GO:0001816	cytokine production	0.0344050560353731	0.0344050560353731	1	BRCA1,HGF,NAV3,PIK3CG,EZH2,GATA3,TLR4,SMAD4,PIK3R1,KIT,RUNX1,BAP1,PTPN11,SETD2,LRRK2
GO:0001817	regulation of cytokine production	0.0328816897803614	0.0328816897803614	1	BRCA1,HGF,NAV3,PIK3CG,EZH2,GATA3,TLR4,SMAD4,PIK3R1,KIT,RUNX1,BAP1,PTPN11,SETD2,LRRK2
GO:0001819	positive regulation of cytokine production	0.0230902535079674	0.0230902535079674	1	BRCA1,HGF,PIK3CG,GATA3,TLR4,PIK3R1,KIT,RUNX1,PTPN11,SETD2,LRRK2
GO:0001822	kidney development	1.39633081574177e-05	1.39633081574177e-05	1	FGFR2,GATA3,SOX9,PDGFRA,SMAD4,NOTCH1,ARID5B,SOX17,CTNNB1,ASXL1,SMAD2,ERBB4,WT1,LRRK2,NF1
